SocioEconClassKey,ParentSocioEconClassKey,ThaiSocioEconClassName,EnglishSocioEconClassName
0,,?????????????????????????????????,Economically Inactive
01,0,?????????????????????????????????: ??????? ????? ?????????????,Economically Inactive: Receiving Assistance or Pensions
02,0,?????????????????????????????????: ??????????????????,Economically Inactive: Property Income
03,0,?????????????????????????????????: ?????????? ?,Economically Inactive: Other Income
1,,?????????????????????????????????? ????????????????????????????????????????,Farm Operator (Including Marine Culture) Who Mainly Owning Land
11,1,?????????????????????????????????? ????????????????????????????????????????: ???????? 2 ???,Farm Operator (Including Marine Culture) Who Mainly Owning Land: Less than 2 rais
12,1,?????????????????????????????????? ????????????????????????????????????????: 2 - 4 ??? 399 ???????,Farm Operator (Including Marine Culture) Who Mainly Owning Land: 2 to 4 rais and 399 tarangwas
13,1,?????????????????????????????????? ????????????????????????????????????????: 5 - 9 ??? 399 ???????,Farm Operator (Including Marine Culture) Who Mainly Owning Land: 5 to 9 rais and 399 tarangwas
14,1,?????????????????????????????????? ????????????????????????????????????????: 10 - 19 ??? 399 ???????,Farm Operator (Including Marine Culture) Who Mainly Owning Land: 10 to 19 rais and 399 tarangwas
15,1,?????????????????????????????????? ????????????????????????????????????????: 20 - 39 ??? 399 ???????,Farm Operator (Including Marine Culture) Who Mainly Owning Land: 20 to 39 rais and 399 tarangwas
16,1,?????????????????????????????????? ????????????????????????????????????????: 40 ?????????,Farm Operator (Including Marine Culture) Who Mainly Owning Land: 40 rais and over
2,,?????????????????????????????????? ??????????????????????????????????????????,Farm Operator (Including Marine Culture) Who Mainly Renting Land / Occupied Free
21,2,?????????????????????????????????? ??????????????????????????????????????????: ???????? 5 ???,Farm Operator (Including Marine Culture) Who Mainly Renting Land / Occupied Free: Less than 5 rai
22,2,?????????????????????????????????? ??????????????????????????????????????????: 5 - 19 ??? 399 ???????,Farm Operator (Including Marine Culture) Who Mainly Owning Land: 5 to 19 rai and 399 tarangwas
23,2,?????????????????????????????????? ??????????????????????????????????????????: 20 ?????????,Farm Operator (Including Marine Culture) Who Mainly Owning Land: 20 rai and over
3,,?????????? ?????? ???????? ???????? ?????????????????,"Fishery, Forestry, Hunting, Agricultural Services"
30,3,?????????? ?????? ???????? ??????????,"Fishery, Forestry, Hunting"
35,3,???????????????????????,Agricultural Services
4,,????????????????????????????????????????,Entrepreneurs for Non-Agricultural Business
41,4,????????????????????????????????????????: ?????????????????????,Entrepreneurs for Non-Agricultural Business: With managerial skill
42,4,????????????????????????????????????????: ??????????????????? ????????????,Entrepreneurs for Non-Agricultural Business: With technical skill & With employees
43,4,????????????????????????????????????????: ??????????????????? ???????????????,Entrepreneurs for Non-Agricultural Business: With technical skill & Without employees
44,4,????????????????????????????????????????: ???????????????? ? ????????????,Entrepreneurs for Non-Agricultural Business: With others skill & With employees
45,4,????????????????????????????????????????: ???????????????? ? ???????????????,Entrepreneurs for Non-Agricultural Business: With others skill & Without employees
5,,????????? ?????????? ???????????????????????,"Professional, Technician and Manager"
51,5,?????????,Manager
52,5,?????????????????????????????,Professional
53,5,?????????????????????????????????????????????????,Technician
6,,?????????? ?????? ????????,"Labourers in Agricultural, Forestry and Fishery"
61,6,??????????????????????????????????? ?????? ????????,"Skilled agricultural, Forestry and Fishery workers"
62,6,????????????????????????????????????????????????????????????????????????,Mobile plant operators for agriculture and forestry
63,6,????????????????? ?????? ????????,"Labourers in agricultural, Forestry and Fishery"
7,,??????????????????????????????,"Labourers in Logistics, Transportation and Basic Works"
70,7,??????????????????????????????,"Labourers in Logistics, transportation and basic works"
8,,?????? ??????????????????????,"Clerical, Sales and Service Workers"
81,8,??????,Clerical
82,8,????????????????????????????????,Sales and service workers
83,8,?????????????????????????????????????? (????????????????????? ???????? ????????????),Craft and related trades workers
84,8,??????????????????????????????????????????????????????????? (???????????????????????????????),Drivers and mobile plant operators
85,8,???????????????? ?????????????????? ??????????????????????????????????,"Cleaners, Food preparation assistants, Street food salespersons"
86,8,???????????????,Armed forces occupations
9,,???????????????????????????? ???????? ????????????,"Production, Construction and Mining Workers"
91,9,???????????????????????????? ???????? ????????????: ????????????????????????????,"Production, Construction and Mining Workers: Production Workers"
92,9,???????????????????????????? ???????? ????????????: ????????????????????????????????,Production Workers: Construction Workers
93,9,???????????????????????????? ???????? ????????????: ?????????????????????????????????,Construction Workers: Mining Workers
